vor_id,ident,region,lonx,laty
1833,ETX,K6,-75.68403333,40.58103611
1834,EWC,K6,-80.21154444,40.82493333
1835,FAK,K6,-77.82821944,37.52850833
1836,FDK,K6,-77.37513333,39.41223056
1837,FJC,K6,-75.45475556,40.7267
1838,FKL,K6,-79.85670556,41.43849722
1839,FKN,K6,-77.01237778,36.71423611
1840,FMH,K6,-70.51394722,41.65960556
1841,FOK,K6,-72.63184444,40.83776667
1842,FQM,K6,-76.77486667,41.33855833
1843,GDM,K6,-72.05818889,42.54592222
1844,GEE,K6,-77.73275,42.83439722
1845,GFL,K6,-73.61176667,43.34169444
1846,GGT,K6,-75.82674722,42.78895556
1847,GON,K6,-72.05198333,41.33040278
1848,GRV,K6,-79.05052778,39.63503056
1849,GVE,K6,-78.153025,38.0136
1850,GXU,K6,-74.59651111,40.009475
1851,GZG,K6,-82.07897778,36.82510556
1852,HAR,K6,-77.06955833,40.30223889
1853,HCM,K6,-76.71135278,37.44866111
1854,HFD,K6,-72.54741667,41.64110556
1855,HGR,K6,-77.85571944,39.69772778
1856,HLG,K6,-80.568625,40.25990278
1857,HNK,K6,-75.31628333,42.06305833
1858,HNN,K6,-82.02616667,38.754125
1859,HPW,K6,-77.11594444,37.32886944
1860,HTO,K6,-72.31670556,40.91899444
1861,HUL,K6,-67.83413611,46.03949444
1862,HUO,K6,-74.59159444,41.40968611
1863,HVN,K6,-72.88518333,41.26230833
1864,HVQ,K6,-81.76991111,38.34967778
1865,HZL,K6,-76.12581667,40.97508333
1866,IAG,K6,-78.96023889,43.11254444
1867,IGN,K6,-73.822225,41.66545
1868,IHD,K6,-79.35836667,39.97424167
1869,ITH,K6,-76.45972778,42.49502778
1870,JFK,K6,-73.77138889,40.63288889
1871,JHW,K6,-79.12130556,42.18860833
1872,JPU,K6,-81.37476389,39.44118056
1873,JST,K6,-78.83416667,40.316725
1874,LDN,K6,-78.20555556,38.85439167
1875,LEB,K6,-72.216075,43.67885556
1876,LFI,K6,-76.35940278,37.08555556
1877,LFV,K6,-70.03723333,42.01718889
1878,LGA,K6,-73.8686,40.78371667
1879,LRP,K6,-76.29129444,40.119975
1880,LVL,K6,-77.90296944,36.81803611
1881,LVZ,K6,-75.68946389,41.27280556
1882,LWB,K6,-80.39202778,37.8638
1883,LWM,K6,-71.094875,42.74041667
1884,LYH,K6,-79.23638056,37.25457778
1885,MAD,K6,-72.69219167,41.31383611
1886,MGW,K6,-79.86041111,39.55671389
1887,MHT,K6,-71.36953333,42.86853056
1888,MIP,K6,-76.66528889,41.02339167
1889,MLT,K6,-68.51546389,45.58670833
1890,MMJ,K6,-80.19391667,40.48808333
1891,MOL,K6,-79.10688889,37.900525
1892,MPV,K6,-72.44937778,44.08548333
1893,MRB,K6,-77.84835556,39.38557222
1894,MSS,K6,-74.72271667,44.91442222
1895,MTN,K6,-76.41135,39.33094167
1896,MVY,K6,-70.61271389,41.39620833
1897,MXE,K6,-75.67080833,39.91805556
1898,NEL,K6,-74.35314444,40.03697222
1899,NFE,K6,-76.13702778,36.69744444
1900,NGU,K6,-76.27728056,36.94004444
1901,NHK,K6,-76.410625,38.28103611
1902,NTU,K6,-76.03704722,36.82422222
1903,ODR,K6,-79.97898611,37.3242
1904,OOD,K6,-75.30302222,39.63603056
1905,ORF,K6,-76.200325,36.8919
1906,ORW,K6,-71.99935278,41.55640278
1907,OTT,K6,-76.74474722,38.70587222
1908,PNE,K6,-75.00955,40.08206944
1909,PNN,K6,-67.70419167,45.3292
1910,PPM,K6,-76.17094167,39.46667222
1911,PQI,K6,-68.09454722,46.77418611
1912,PSB,K6,-77.99271667,40.91625833
1913,PSK,K6,-80.7129,37.08770556
1914,PSM,K6,-70.83198611,43.08446111
1915,PTW,K6,-75.56025,40.22223056
1916,PUT,K6,-71.84409444,41.95546111
1917,PVD,K6,-71.42971944,41.72443889
1918,PWL,K6,-73.60055278,41.76977222
1919,PXT,K6,-76.40023056,38.28785556
